Sensor,Break,Interval,Time,Start,End,Comments
T-Line 1,-0.0001,0.0016,1672871443.5613,1672871443.5613477,1672871444.064109,
T-Line 1,0.5027,0.4679,1672871443.5598,1672871443.5597508,1672871444.0624352,
Hog-Line 1,0.5036,0.3712,1672871443.0918,1672871443.091819,1672871443.5954576,
T-Line 2,-0.0001,0.0016,1672871442.7206,1672871442.7205822,1672871443.222841,
T-Line 2,0.5022,0.1684,1672871442.7190,1672871442.7189546,1672871443.2211962,
T-Line 1,0.0005,0.0016,1672871442.5506,1672871442.5505886,1672871443.0537071,
T-Line 1,0.5025,0.4649,1672871442.5490,1672871442.5490148,1672871443.051499,
Hog-Line 1,0.5022,0.3723,1672871442.0841,1672871442.0840793,1672871442.5862932,
T-Line 2,0.0001,0.0014,1672871441.7117,1672871441.7117481,1672871442.214086,
T-Line 2,0.5021,0.1687,1672871441.7104,1672871441.7103934,1672871442.212454,
T-Line 1,0.0001,0.0014,1672871441.5417,1672871441.5417395,1672871442.0440834,
T-Line 1,0.5021,0.4675,1672871441.5403,1672871441.5403476,1672871442.0424166,
Hog-Line 1,0.5029,0.3769,1672871441.0729,1672871441.0728686,1672871441.5757573,
T-Line 2,-0.0006,0.0017,1672871440.6960,1672871440.6960022,1672871441.205515,
T-Line 2,0.5100,0.1606,1672871440.6943,1672871440.6942775,1672871441.2043126,
T-Line 1,-0.0002,0.0016,1672871440.5337,1672871440.533656,1672871441.0359313,
T-Line 1,0.5024,0.4673,1672871440.5321,1672871440.532076,1672871441.0344543,
Hog-Line 1,0.5027,0.3784,1672871440.0647,1672871440.0647373,1672871440.5673978,
T-Line 2,-0.0000,0.0015,1672871439.6864,1672871439.6863759,1672871440.1889422,
T-Line 2,0.5025,0.1605,1672871439.6848,1672871439.6848462,1672871440.1873052,
T-Line 1,-0.0001,0.0017,1672871439.5244,1672871439.5243723,1672871440.0270011,
T-Line 1,0.5026,0.4696,1672871439.5227,1672871439.5227199,1672871440.0252976,
Hog-Line 1,0.5066,0.3750,1672871439.0531,1672871439.053149,1672871439.5597913,
T-Line 2,0.0001,0.0015,1672871438.6781,1672871438.678103,1672871439.1807902,
T-Line 2,0.5025,0.1626,1672871438.6766,1672871438.676561,1672871439.1790414,
T-Line 1,0.0012,0.0016,1672871438.5140,1672871438.513955,1672871439.0185533,
T-Line 1,0.5032,0.4688,1672871438.5124,1672871438.5123613,1672871439.0156047,
Hog-Line 1,0.5033,0.4002,1672871438.0436,1672871438.0436063,1672871438.546892,
T-Line 2,-0.0012,0.0027,1672871437.6434,1672871437.6433659,1672871438.164153,
T-Line 2,0.5218,0.1377,1672871437.6407,1672871437.6406705,1672871438.1624832,
T-Line 1,0.0004,0.0011,1672871437.5030,1672871437.5029778,1672871438.0063806,
T-Line 1,0.5029,0.4677,1672871437.5018,1672871437.5018425,1672871438.0046928,
Hog-Line 1,0.5030,0.4032,1672871437.0341,1672871437.034093,1672871437.5370474,
T-Line 2,0.0004,0.0011,1672871436.6309,1672871436.630884,1672871437.1341295,
T-Line 2,0.5027,0.1364,1672871436.6298,1672871436.6297884,1672871437.1324766,
T-Line 1,0.0004,0.0012,1672871436.4934,1672871436.4933624,1672871436.9957564,
T-Line 1,0.5019,0.4653,1672871436.4921,1672871436.4921188,1672871436.9939845,
Hog-Line 1,0.5016,0.4023,1672871436.0269,1672871436.0268555,1672871436.5284133,
T-Line 2,-0.0000,0.0015,1672871435.6246,1672871435.624577,1672871436.126664,
T-Line 2,0.5020,0.6035,1672871435.6230,1672871435.6230352,1672871436.125014,
Hog-Line 1,0.5017,0.4048,1672871435.0195,1672871435.019536,1672871435.5212257,
T-Line 2,0.0011,0.0014,1672871434.6147,1672871434.6147463,1672871435.1182008,
T-Line 2,0.5022,1.0074,1672871434.6134,1672871434.6133826,1672871435.1155937,
T-Line 2,-0.0006,0.0014,1672871433.6060,1672871433.606009,1672871434.109728,
T-Line 2,0.5033,1672871433.6046,1672871433.6046,1672871433.6046236,1672871434.107959,
Hog-Line 2,1672872295.1423,0.0000,0.0000,0,1672872295.142323,
Hog-Line 1,1672872276.4842,0.0000,0.0000,0,1672872276.4841588,
